Minister,Date,Name of Individual or Organisation,Purpose of Meeting
Sir Keir Starmer,2025-01-04,Football beyond Borders,During a social meeting to discuss the charity's work and the Government's youth support initiatives
Sir Keir Starmer,2025-01-06,Michael Bloomberg,Audio call conveying best wishes and updating on the US context
Sir Keir Starmer,2025-01-07,"Mastercard, Pollinate International","To discuss Mastercard's operations in the UK, its partnership with Pollinate and the importance of public/private partnerships in delivering economic growth"
Sir Keir Starmer,2025-01-08,Survivors of child sexual exploitation,"To learn about survivors' experiences, and hear about their campaigning in support of other victims"
Sir Keir Starmer,2025-01-09,"National Crime Agency, City of London Police, Crown Prosecution Service, Metropolitan Police plus Home Office, Foreign, Commonwealth and Development Office and HMRC officials","Roundtable during a visit to discuss the development of a sanctions regime to deter, disrupt and combat organised immigration crime"
Sir Keir Starmer,2025-01-09,Mistral AI,To discuss Mistral's investment expansion in the UK AI sector including the scale of opportunity for AI in the UK
Sir Keir Starmer,2025-01-10,The Elton John AIDS Foundation,"Video call to discuss the Government's action to tackle HIV/AIDS, and the global context"
Sir Keir Starmer,2025-01-14,Temasek,To discuss Temasek's investment in the UK and the Government's commitment to provide a stable economic environment for future investment
Sir Keir Starmer,2025-01-17,InPost,During visit to Poland to discuss InPost's investment in the UK and how it is driving growth and creating jobs
Sir Keir Starmer,2025-01-21,Cheryl Pratt-Korbel and family member,To provide an upate on legislation requiring offenders to attend their sentencing hearing
Sir Keir Starmer,2025-01-22,Tata Group,To receive an update on the progress of Tata's investments in the UK
Sir Keir Starmer,2025-01-28,"Bloomberg LP, Lloyds Banking Group, BT, PwC UK & Middle East, Sage Group, Taylor Wimpey, DHL, Reckitt, BAE Systems, Nationwide, Pinewood Group, Tesco, Bord Gáis Energy, Vodafone, Unilever","CEO Roundtable to discuss economic growth policy, including UK regulation, AI opportunities and the labour market"
Sir Keir Starmer,2025-01-31,"Sir Lewis Hamilton, Mission 44","Video call to discuss the shared objectives of Sir Lewis Hamilton's charity, Mission 44, and the Government's Opportunities Mission on measures to help young people realise their potential"
Sir Keir Starmer,2025-01-31,"Amanda Damari, Emily Damari","Audio call following the release of Emily Damari, Hamas hostage, to hear about her and her family's experiences"
Sir Keir Starmer,2025-02-01,Stellantis,Audio call to discuss Stellantis' operations in the UK
Sir Keir Starmer,2025-02-04,Molly Rose Foundation,To discuss online harms to young people and the Online Safety Act 2023
Sir Keir Starmer,2025-02-05,Meta,"To discuss how Meta could increase its UK investment, the UK's AI Action plan and online safety"
Sir Keir Starmer,2025-02-06,Bereaved families of the Southport attack,During a visit to update the families on the findings of the review of the Prevent Programme's handling of the attacker's case
Sir Keir Starmer,2025-02-06,Families of those injured and affected by the Southport attack,During a visit to update the families on the findings of the review of the Prevent programme's handline of the attacker's case
Sir Keir Starmer,2025-02-06,"Nelson Peltz, Darren Peltz",To discuss the global economy and growth during a social meeting.
Sir Keir Starmer,2025-02-11,Scale AI,To discuss the UK's ambitions in AI and opportunities for partnership
Sir Keir Starmer,2025-02-11,Apple Inc,Audio call to discuss Apple's activities in the UK
Sir Keir Starmer,2025-02-12,Bereaved families and legal teams of Nottingham attack victims,To inform the families of the Government's decision to hold a statutory inquiry into the Nottingham attack and outline the process before the inquiry begins
Sir Keir Starmer,2025-02-13,Anthropic,To discuss the UK's Artificial Intelligence Opportunities Action Plan and Anthropic's AI partnership with the UK Government
